OBJECTID,Name,Support Centre,Latitude,Longitude,Council Area,Unit Operating Times,Date,Lifesaving Area,x,y
1314,Crantock,Newquay,50.406678,-5.118379,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/crantock-beach,2001,SW4,-5.11837899999995,50.4066780000001
1315,Cromer East,Catfield,52.931652,1.303056,North Norfolk,https://rnli.org/find-my-nearest/lifeguarded-beaches/cromer-east-beach,2007,NE3,1.30305600000003,52.931652
1316,Cromer West,Catfield,52.934213,1.291468,North Norfolk,https://rnli.org/find-my-nearest/lifeguarded-beaches/cromer-west-beach,2007,NE3,1.29146800000007,52.9342130000001
1317,Crooklets,Bude,50.834603,-4.554112,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/crooklets-beach,2006,SW3,-4.55411199999998,50.8346030000001
1318,Crosby,Formby,53.49696,-3.058904,Sefton,https://rnli.org/find-my-nearest/lifeguarded-beaches/crosby-beach,2010,WW2,-3.05890399999993,53.4969600000001
1319,Croyde,Mullacott,51.132882,-4.237874,Private Beach  Owner,https://rnli.org/find-my-nearest/lifeguarded-beaches/croyde-beach,2006,SW3,-4.23787399999998,51.1328820000001
1320,Cullercoats,Boldon,55.033158,-1.429945,North Tyneside,https://rnli.org/find-my-nearest/lifeguarded-beaches/cullercoats-beach,2010,NE1,-1.42994499999998,55.0331580000001
1321,Dawlish Warren,Dawlish,50.598134,-3.439484,Teignbridge,https://rnli.org/find-my-nearest/lifeguarded-beaches/dawlish-warren-beach,2009,SW2,-3.43948399999994,50.5981340000001
1322,Downhill Strand,Ballymoney,55.16676,-6.823044,Causeway Coast and Glens,https://rnli.org/find-my-nearest/lifeguarded-beaches/downhill-strand-beach,,IR1,-6.82304399999992,55.1667600000001
1323,Durley Chine,Poole,50.713429,-1.88743,"Bournemouth, Christchurch, Poole Council",https://rnli.org/find-my-nearest/lifeguarded-beaches/durley-chine-beach,2001,SE5,-1.88742999999994,50.7134290000001
1324,East Cliff  ,Poole,50.717399,-1.866099,"Bournemouth, Christchurch, Poole Council",https://rnli.org/find-my-nearest/lifeguarded-beaches/east-cliff-beach,2002,SE5,-1.86609899999996,50.7173990000001
1325,East Runton,Catfield,52.93727,1.274061,North Norfolk,https://rnli.org/find-my-nearest/lifeguarded-beaches/east-runton-beach,2010,NE3,1.27406100000007,52.9372700000001
1326,West Runton,Catfield,52.941484,1.251535,North Norfolk,https://rnli.org/find-my-nearest/lifeguarded-beaches/west-runton-beach,2016,NE3,1.25153500000005,52.9414840000001
1327,Exmouth,Dawlish,50.611454,-3.406368,East Devon,https://rnli.org/find-my-nearest/lifeguarded-beaches/exmouth-beach,2008,SW2,-3.40636799999993,50.611454
1328,Filey,Scarborough,54.208872,-0.284232,North Yorkshire,https://rnli.org/find-my-nearest/lifeguarded-beaches/filey-beach,2009,NE2,-0.284231999999975,54.208872
1329,Fisherman's Walk,Poole,50.720731,-1.817235,"Bournemouth, Christchurch, Poole Council",https://rnli.org/find-my-nearest/lifeguarded-beaches/fishermans-walk-beach,,SE5,-1.81723499999993,50.7207310000001
1330,Fistral,Newquay,50.417971,-5.097903,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/fistral-beach,2001,SW4,-5.09790299999997,50.4179710000001
1331,Formby,Formby,53.551958,-3.103317,National Trust,https://rnli.org/find-my-nearest/lifeguarded-beaches/formby-beach,2010,WW2,-3.10331699999995,53.5519580000001
1332,Freathy,Torpoint,50.345929,-4.254024,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/freathy-beach,2001,SW2,-4.25402399999996,50.3459290000001
1333,Freshwater West,Haverfordwest,51.65618,-5.058566,Pembrokeshire,https://rnli.org/find-my-nearest/lifeguarded-beaches/freshwater-west-beach,2020,WW5,-5.05856599999993,51.6561800000001
1334,Friars Cliff,Poole,50.733181,-1.727866,"Bournemouth, Christchurch, Poole Council",https://rnli.org/find-my-nearest/lifeguarded-beaches/friars-cliff-beach,2009,SE5,-1.72786599999995,50.7331810000001
1335,Godrevy,Hayle,50.231702,-5.391506,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/godrevy-beach,2008,SW4,-5.39150599999994,50.231702
1336,Gorleston,Catfield,52.56961,1.732741,Great Yarmouth,https://rnli.org/find-my-nearest/lifeguarded-beaches/gorleston-beach,2008,NE4,1.73274100000003,52.5696100000001
1337,Great Western,Newquay,50.416303,-5.075999,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/great-western-beach,2001,SW4,-5.07599899999997,50.416303
1338,Great Yarmouth,Catfield,52.606225,1.739745,Great Yarmouth,https://rnli.org/find-my-nearest/lifeguarded-beaches/great-yarmouth-beach,2008,NE4,1.73974500000003,52.6062250000001
1339,Greenhill,Weymouth,50.621679,-2.446911,Weymouth,https://rnli.org/find-my-nearest/lifeguarded-beaches/greenhill-beach,2001,SW2,-2.44691099999994,50.621679
1340,Grève de Lecq,Jersey,49.246891,-2.201065,Jersey,https://rnli.org/find-my-nearest/lifeguarded-beaches/greve-de-lecq-beach,2011,SW1,-2.20106499999997,49.2468910000001
1341,Gunwalloe,Helston,50.039088,-5.266685,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/gunwalloe-beach,2008,SW4,-5.26668499999994,50.039088
1342,Gwenver,Hayle,50.088265,-5.687961,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/gwenver-beach,2008,SW4,-5.68796099999997,50.088265
1343,Gwithian North,Hayle,50.224243,-5.395836,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/gwithian-beach,,SW4,-5.39583599999997,50.2242430000001
1344,Gyllyngvase,Helston,50.144541,-5.068537,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/gyllyngvase-beach,2002,SW4,-5.06853699999994,50.1445410000001
1345,Harlyn,Padstow,50.53966,-4.994638,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/harlyn-beach,2004,SW4,-4.99463799999995,50.53966
1346,Harrison Drive,Wirral,53.434195,-3.07534,Wirral,https://rnli.org/find-my-nearest/lifeguarded-beaches/harrison-drive-beach,2015,WW2,-3.07533999999993,53.434195
1347,Hayle Towans,Hayle,50.197442,-5.429836,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/hayle-towans-beach,2008,SW4,-5.42983599999997,50.1974420000001
1348,Hemsby,Catfield,52.694841,1.708907,Great Yarmouth,https://rnli.org/find-my-nearest/lifeguarded-beaches/hemsby-beach,2008,NE3,1.70890700000007,52.6948410000001
1349,Highcliffe,Poole,50.736923,-1.696144,"Bournemouth, Christchurch, Poole Council",https://rnli.org/find-my-nearest/lifeguarded-beaches/highcliffe-beach,2009,SE5,-1.69614399999995,50.736923
1350,Holywell Bay,Perranporth,50.391401,-5.145178,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/holywell-bay-beach,2002,SW4,-5.14517799999993,50.391401
