OBJECTID,Equipment_ID,Equipment_Name,Current_Location,Current_Lat,Current_Long,Allocated_Location,Allocated_Lat,Allocated_Long,ON_Number,Lifeboat_Number,MMSI,Class,Launch_Method,Product_ID,Model_ID,On_Service_Date,x,y
905,OB02007765,Y-Class Avon / ILC MK1 3-5M,Baltimore ALB,51.4877243,-9.371983528,NULL,NULL,NULL,,Y-244,,Y-Class,Avon / ILC,Avon/ILC,MK13-5M,13/12/2011,-9.37198352799993,51.4877243000001
906,OB02005606,ON1302 Tamar ALB Alan Massey,Baltimore ALB,51.4877243,-9.371983528,Baltimore ALB,51.4877243,-9.371983528,ON1302,16-22,235069214,Tamar,Afloat Boat,AfloatBoat,MK1Tamar,13/12/2011,-9.37198352799993,51.4877243000001
907,OB02029923,B-Class A85 Rita Daphne Smyth,Baltimore ILB B,51.4877243,-9.371983528,Baltimore ILB B,51.4877243,-9.371983528,,B-910,232016610,B-Class,Atlantic 85,Atlantic85,MK3Atlantic85,25/06/2018,-9.37198352799993,51.4877243000001
908,OB02004190,B-Class A85 Jessie Hillyard,Bangor (Co Down) ILB B,54.66569519,-5.667167187,Bangor (Co Down) ILB B,54.66569519,-5.667167187,,B-805,235089702,B-Class,Atlantic 85,Atlantic85,MK3Atlantic85,04/10/2006,-5.66716718699996,54.6656951900001
909,OB02028517,ON1337 Shannon ALB ELLA LARSEN,Barmouth ALB,52.7209549,-4.055682182,Barmouth ALB,52.7209549,-4.055682182,ON1337,13-30,232009189,Shannon,Carriage Boat,CarriageBoat,MK1Shannon,01/12/2018,-4.05568218199994,52.7209549
910,OB02028106,D-Class ILB Craig Steadman,Barmouth ILB D,52.7209549,-4.055682182,Barmouth ILB D,52.7209549,-4.055682182,,D-814,232006893,D-Class,IB1 variant,IB1,MK2IB1,17/08/2017,-4.05568218199994,52.7209549
911,OB02002189,ON1230 Severn ALB Edna Windsor,Barra Island ALB,56.95412445,-7.487123966,Barra Island ALB,56.95412445,-7.487123966,ON1230,17-12,232003050,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/06/1998,-7.48712396599996,56.9541244500001
912,OB02006227,D-Class BB ILB Windsor Spirit,Barra Island ALB,56.95412445,-7.487123966,Bridlington ILB D,54.0791893,-0.197475001,,BB-721,235102988,D-Class,IB1 variant,IB1,MK2BBIB1,01/09/2009,-7.48712396599996,56.9541244500001
913,OB02006504,Y-Class Avon / ILC MK1 3-5M,Barra Island ALB,56.95412445,-7.487123966,NULL,NULL,NULL,,Y-227,,Y-Class,Avon / ILC,Avon/ILC,MK13-5M,01/07/2010,-7.48712396599996,56.9541244500001
914,OB02004411,Y-Class Avon / ILC MK1 3-5M,Barrow ALB,54.07250977,-3.173326969,NULL,NULL,NULL,,Y-208,,Y-Class,Avon / ILC,Avon/ILC,MK13-5M,01/01/1900,-3.17332696899996,54.0725097700001
915,OB02004338,ON1288 Tamar ALB Grace Dixon,Barrow ALB,54.07250977,-3.173326969,Barrow ALB,54.07250977,-3.173326969,ON1288,16-08,235050564,Tamar,Slipway Boat,SlipwayBoat,MK1Tamar,20/08/2007,-3.17332696899996,54.0725097700001
916,OB02010343,D-Class BB Clive and Imelda Rawlins,Barrow ALB,54.07250977,-3.173326969,Barrow ALB,54.07250977,-3.173326969,,BB-753,235096973,D-Class,IB1 variant,IB1,MK2BBIB1,27/07/2012,-3.17332696899996,54.0725097700001
917,OB02043937,D-Class ILB Raymond and Dorothy Billingham,Barrow ILB D,54.07250977,-3.173326969,Barrow ILB D,54.07250977,-3.173326969,,D-866,232040640,D-Class,IB1 variant,IB1,MK2IB1,16/02/2022,-3.17332696899996,54.0725097700001
918,OB02046448,ON1358 Shannon ALB RICHARD AND CAROLINE COLTON II,Barry Dock ALB,51.39315033,-3.261497021,Barry Dock ALB,51.39315033,-3.261497021,ON1358,13-51,232051614,Shannon,Carriage Boat,CarriageBoat,MK1Shannon,23/01/2023,-3.26149702099997,51.39315033
